Date,Category,Description,Amount,Type
2024-05-09,Groceries,Grocery shopping,79.48,Expense
2024-05-16,Groceries,Grocery shopping,129.88,Expense
2024-05-22,Groceries,Grocery shopping,170.29,Expense
2024-05-27,Groceries,Grocery shopping,128.25,Expense
2024-06-01,Salary,Monthly salary,2185.89,Income
2024-06-02,Utilities,"Electricity, water, internet bills",58.59,Expense
2024-06-06,Entertainment,"Movies, concerts, etc.",250.83,Expense
2024-06-15,Entertainment,"Movies, concerts, etc.",37.29,Expense
2024-06-16,Bonus,Extra income,345.41,Income
2024-06-24,Groceries,Grocery shopping,188.75,Expense
2024-06-29,Utilities,"Electricity, water, internet bills",445.74,Expense
2024-07-01,Salary,Monthly salary,2185.93,Income
2024-07-02,Entertainment,"Movies, concerts, etc.",370.09,Expense
2024-07-09,Groceries,Grocery shopping,113.45,Expense
2024-07-11,Groceries,Grocery shopping,60.41,Expense
2024-07-22,Utilities,"Electricity, water, internet bills",847.05,Expense
2024-07-23,Groceries,Grocery shopping,143.7,Expense
2024-08-01,Salary,Monthly salary,2116.77,Income
2024-08-01,Utilities,"Electricity, water, internet bills",690.32,Expense
2024-08-02,Groceries,Grocery shopping,114.28,Expense
2024-08-18,Groceries,Grocery shopping,190.77,Expense
2024-08-20,Entertainment,"Movies, concerts, etc.",483.21,Expense
2024-08-27,Groceries,Grocery shopping,120.76,Expense
2024-08-30,Entertainment,"Movies, concerts, etc.",228.12,Expense
2024-09-01,Salary,Monthly salary,2161.34,Income
2024-09-02,Groceries,Grocery shopping,122.0,Expense
2024-09-05,Groceries,Grocery shopping,57.19,Expense
2024-09-08,Groceries,Grocery shopping,190.78,Expense
2024-09-19,Groceries,Grocery shopping,67.2,Expense
2024-09-23,Groceries,Grocery shopping,45.27,Expense
2024-10-01,Salary,Monthly salary,2182.46,Income
2024-10-07,Groceries,Grocery shopping,146.56,Expense
2024-10-08,Utilities,"Electricity, water, internet bills",207.46,Expense
2024-10-21,Utilities,"Electricity, water, internet bills",803.12,Expense
2024-10-22,Groceries,Grocery shopping,100.11,Expense
2024-10-23,Utilities,"Electricity, water, internet bills",737.27,Expense
2024-10-28,Groceries,Grocery shopping,83.69,Expense
2024-10-31,Groceries,Grocery shopping,133.18,Expense
2024-11-01,Salary,Monthly salary,2250.31,Income
2024-11-05,Utilities,"Electricity, water, internet bills",256.78,Expense
2024-11-06,Utilities,"Electricity, water, internet bills",814.27,Expense
2024-11-19,Groceries,Grocery shopping,142.27,Expense
2024-11-28,Entertainment,"Movies, concerts, etc.",442.01,Expense
2024-11-29,Entertainment,"Movies, concerts, etc.",340.09,Expense
2024-12-01,Salary,Monthly salary,2171.16,Income
2024-12-03,Groceries,Grocery shopping,28.03,Expense
2024-12-06,Utilities,"Electricity, water, internet bills",392.41,Expense
2024-12-08,Utilities,"Electricity, water, internet bills",776.14,Expense
2024-12-25,Entertainment,"Movies, concerts, etc.",393.97,Expense
2024-12-31,Groceries,Grocery shopping,90.43,Expense
2025-01-01,Salary,Monthly salary,2264.35,Income
2025-01-09,Groceries,Grocery shopping,83.26,Expense
2025-01-20,Bonus,Extra income,710.49,Income
2025-01-24,Groceries,Grocery shopping,89.54,Expense
2025-02-01,Salary,Monthly salary,2177.77,Income
2025-02-14,Groceries,Grocery shopping,175.43,Expense
2025-02-15,Bonus,Extra income,333.45,Income
2025-02-17,Entertainment,"Movies, concerts, etc.",159.9,Expense
2025-02-27,Entertainment,"Movies, concerts, etc.",235.54,Expense
2025-02-28,Groceries,Grocery shopping,147.67,Expense
2025-03-01,Salary,Monthly salary,2188.45,Income
2025-03-03,Bonus,Extra income,564.48,Income
2025-03-05,Utilities,"Electricity, water, internet bills",835.52,Expense
2025-03-07,Entertainment,"Movies, concerts, etc.",481.52,Expense
2025-03-12,Groceries,Grocery shopping,146.05,Expense
2025-03-14,Groceries,Grocery shopping,94.13,Expense
2025-03-17,Groceries,Grocery shopping,40.93,Expense
2025-03-22,Groceries,Grocery shopping,11.31,Expense
2025-04-01,Salary,Monthly salary,2234.81,Income
2025-04-03,Utilities,"Electricity, water, internet bills",835.22,Expense
2025-04-07,Entertainment,"Movies, concerts, etc.",336.18,Expense
2025-04-12,Groceries,Grocery shopping,141.48,Expense
2025-04-13,Bonus,Extra income,172.88,Income
2025-04-17,Groceries,Grocery shopping,98.67,Expense
2025-04-22,Groceries,Grocery shopping,100.36,Expense
2025-04-28,Bonus,Extra income,159.86,Income
2025-05-01,Groceries,Grocery shopping,85.1,Expense
2025-05-01,Salary,Monthly salary,2216.31,Income
2025-05-02,Entertainment,"Movies, concerts, etc.",221.21,Expense
2025-05-14,Groceries,Grocery shopping,61.68,Expense
2025-05-14,Entertainment,"Movies, concerts, etc.",489.61,Expense
2025-05-18,Entertainment,"Movies, concerts, etc.",309.69,Expense
2025-05-24,Utilities,"Electricity, water, internet bills",678.63,Expense
2025-05-26,Groceries,Grocery shopping,168.64,Expense
2025-05-29,Utilities,"Electricity, water, internet bills",604.09,Expense
2025-05-30,Groceries,Grocery shopping,159.6,Expense
2025-06-01,Salary,Monthly salary,2137.44,Income
2025-06-02,Bonus,Extra income,740.01,Income
2025-06-06,Groceries,Grocery shopping,95.51,Expense
2025-06-07,Groceries,Grocery shopping,50.11,Expense
2025-06-10,Bonus,Extra income,195.82,Income
2025-06-13,Groceries,Grocery shopping,16.59,Expense
2025-06-28,Entertainment,"Movies, concerts, etc.",447.16,Expense
2025-06-28,Groceries,Grocery shopping,165.49,Expense
2025-07-01,Salary,Monthly salary,2228.7,Income
2025-07-11,Utilities,"Electricity, water, internet bills",649.81,Expense
2025-07-11,Groceries,Grocery shopping,25.5,Expense
2025-07-14,Groceries,Grocery shopping,179.17,Expense
2025-07-21,Groceries,Grocery shopping,61.67,Expense
2025-07-22,Utilities,"Electricity, water, internet bills",742.34,Expense
2025-07-27,Utilities,"Electricity, water, internet bills",726.53,Expense
2025-07-28,Utilities,"Electricity, water, internet bills",563.28,Expense
2025-08-01,Salary,Monthly salary,2112.32,Income
2025-08-02,Groceries,Grocery shopping,43.61,Expense
2025-08-10,Utilities,"Electricity, water, internet bills",320.31,Expense
2025-08-17,Groceries,Grocery shopping,104.64,Expense
2025-08-22,Utilities,"Electricity, water, internet bills",349.98,Expense
2025-08-23,Groceries,Grocery shopping,155.64,Expense
2025-09-01,Salary,Monthly salary,2129.74,Income
2025-09-02,Groceries,Grocery shopping,164.61,Expense
2025-09-07,Groceries,Grocery shopping,114.95,Expense
2025-09-14,Groceries,Grocery shopping,100.6,Expense
2025-09-20,Utilities,"Electricity, water, internet bills",983.4,Expense
2025-09-21,Groceries,Grocery shopping,164.73,Expense
2025-09-23,Groceries,Grocery shopping,123.9,Expense
2025-10-01,Groceries,Grocery shopping,124.83,Expense
2025-10-01,Salary,Monthly salary,2225.05,Income
2025-10-10,Groceries,Grocery shopping,18.37,Expense
2025-10-11,Bonus,Extra income,791.41,Income
2025-10-11,Entertainment,"Movies, concerts, etc.",474.07,Expense
2025-10-17,Groceries,Grocery shopping,137.38,Expense
2025-10-18,Utilities,"Electricity, water, internet bills",368.6,Expense
2025-10-24,Groceries,Grocery shopping,63.31,Expense
2025-11-01,Salary,Monthly salary,2174.12,Income
2025-11-10,Groceries,Grocery shopping,77.42,Expense
2025-11-15,Entertainment,"Movies, concerts, etc.",258.19,Expense
2025-11-16,Entertainment,"Movies, concerts, etc.",300.72,Expense
2025-11-20,Groceries,Grocery shopping,173.72,Expense
2025-11-26,Groceries,Grocery shopping,26.68,Expense
2025-11-28,Entertainment,"Movies, concerts, etc.",331.7,Expense
2025-11-29,Utilities,"Electricity, water, internet bills",196.09,Expense
2025-12-01,Salary,Monthly salary,2170.05,Income
2025-12-03,Entertainment,"Movies, concerts, etc.",130.92,Expense
2025-12-19,Groceries,Grocery shopping,102.37,Expense
